genre,family,year,targetSharePct,currentThreeSeedMeanSharePct,deltaPctPoints
Acid Rock,Rock,1960,0,0,0
Acid Rock,Rock,1961,0,0,0
Acid Rock,Rock,1962,0,0,0
Acid Rock,Rock,1963,0,0,0
Acid Rock,Rock,1964,0,0,0
Acid Rock,Rock,1965,0,0,0
Acid Rock,Rock,1966,0.13,0.18359215111910504,0.053592151119105036
Acid Rock,Rock,1967,0.54,0.27690025865293816,-0.2630997413470619
Acid Rock,Rock,1968,0.71,0.13990772723326098,-0.570092272766739
Acid Rock,Rock,1969,0.44,0.16872489028663049,-0.27127510971336954
Baroque Pop,Pop,1960,0,0,0
Baroque Pop,Pop,1961,0,0,0
Baroque Pop,Pop,1962,0,0,0
Baroque Pop,Pop,1963,0,0,0
Baroque Pop,Pop,1964,0,0,0
Baroque Pop,Pop,1965,0,0,0
Baroque Pop,Pop,1966,0.4,0.5578969080706464,0.15789690807064638
Baroque Pop,Pop,1967,0.8,0.24404098989920678,-0.5559590101007933
Baroque Pop,Pop,1968,0.57,0.6035205136495285,0.03352051364952857
Baroque Pop,Pop,1969,0.29,0.06798373443319598,-0.22201626556680398
Blues,Blues,1960,2.6,1.9380410847670126,-0.6619589152329874
Blues,Blues,1961,2.72,1.4652497314590258,-1.2547502685409744
Blues,Blues,1962,2.65,1.5627837591585276,-1.0872162408414723
Blues,Blues,1963,2.55,1.510071391275607,-1.0399286087243929
Blues,Blues,1964,2.26,1.4738299863385997,-0.7861700136614
Blues,Blues,1965,2.36,1.2668197006535127,-1.0931802993464872
Blues,Blues,1966,2.27,1.500684039430775,-0.769315960569225
Blues,Blues,1967,2.01,1.2585410269337702,-0.7514589730662296
Blues,Blues,1968,1.85,1.1345994660697976,-0.7154005339302025
Blues,Blues,1969,1.75,1.0788736363488176,-0.6711263636511824
Blues Rock,Rock,1960,0,0,0
Blues Rock,Rock,1961,0,0,0
Blues Rock,Rock,1962,0,0,0
Blues Rock,Rock,1963,0,0,0
Blues Rock,Rock,1964,0,0,0
Blues Rock,Rock,1965,0.12,0,-0.12
Blues Rock,Rock,1966,0.4,0.16800500537989912,-0.2319949946201009
Blues Rock,Rock,1967,0.8,1.059123598509358,0.25912359850935807
Blues Rock,Rock,1968,1.56,1.3047154676631156,-0.2552845323368844
Blues Rock,Rock,1969,2.34,1.4640093507083114,-0.8759906492916885
Boogaloo,Latin,1960,0,0,0
Boogaloo,Latin,1961,0,0,0
Boogaloo,Latin,1962,0,0,0
Boogaloo,Latin,1963,0,0,0
Boogaloo,Latin,1964,0,0,0
Boogaloo,Latin,1965,0.12,0,-0.12
Boogaloo,Latin,1966,0.4,0.666470476202651,0.26647047620265096
Boogaloo,Latin,1967,0.6,0.43509912042040866,-0.16490087957959132
Boogaloo,Latin,1968,0.5,0.5860281223445418,0.08602812234454182
Boogaloo,Latin,1969,0.22,0.4834086895017505,0.26340868950175045
Bossa Nova,Jazz,1960,0,0,0
Bossa Nova,Jazz,1961,0.12,0,-0.12
Bossa Nova,Jazz,1962,1.08,0.6023447956770175,-0.4776552043229826
Bossa Nova,Jazz,1963,1.46,1.5229461132638207,0.06294611326382071
Bossa Nova,Jazz,1964,1.69,1.303445883242436,-0.3865541167575639
Bossa Nova,Jazz,1965,0.87,1.687224351445806,0.8172243514458061
Bossa Nova,Jazz,1966,0.33,2.241196311362965,1.911196311362965
Bossa Nova,Jazz,1967,0.13,0.6974072227183914,0.5674072227183914
Bossa Nova,Jazz,1968,0.07,0.2091485770172379,0.1391485770172379
Bossa Nova,Jazz,1969,0.03,0.12092948074304723,0.09092948074304723
British Beat,Rock,1960,0,0,0
British Beat,Rock,1961,0,0,0
British Beat,Rock,1962,0,0,0
British Beat,Rock,1963,0.06,0.05963682163588139,-0.000363178364118609
British Beat,Rock,1964,8.47,4.864053447264471,-3.6059465527355297
British Beat,Rock,1965,7.46,7.092638596067461,-0.3673614039325388
British Beat,Rock,1966,4.27,3.2468234229595514,-1.0231765770404482
British Beat,Rock,1967,2.14,1.3305652570067288,-0.8094347429932713
British Beat,Rock,1968,1.28,1.7230472457459305,0.44304724574593046
British Beat,Rock,1969,0.88,1.070591155511856,0.1905911555118559
British Blues,Rock,1960,0,0,0
British Blues,Rock,1961,0,0,0
British Blues,Rock,1962,0,0,0
British Blues,Rock,1963,0,0,0
British Blues,Rock,1964,0.23,0.036308959771126886,-0.19369104022887312
British Blues,Rock,1965,0.75,0.8483908849568339,0.0983908849568339
British Blues,Rock,1966,1.73,3.338806025237107,1.608806025237107
British Blues,Rock,1967,2.68,3.206980237793248,0.5269802377932478
British Blues,Rock,1968,3.69,2.92266986938577,-0.7673301306142299
British Blues,Rock,1969,4.09,3.1563097778066522,-0.9336902221933476
British Pop,Pop,1960,0,0,0
British Pop,Pop,1961,0,0,0
British Pop,Pop,1962,0,0,0
British Pop,Pop,1963,0.12,0,-0.12
British Pop,Pop,1964,5.08,5.063798870177602,-0.016201129822397853
British Pop,Pop,1965,4.97,7.128174804948489,2.158174804948489
British Pop,Pop,1966,4,3.819605823930024,-0.1803941760699761
British Pop,Pop,1967,2.95,3.1537535424692074,0.20375354246920718
British Pop,Pop,1968,2.27,2.0478047149563543,-0.22219528504364572
British Pop,Pop,1969,1.75,1.3692324909858622,-0.3807675090141378
Bubblegum,Pop,1960,0,0,0
Bubblegum,Pop,1961,0,0,0
Bubblegum,Pop,1962,0,0,0
Bubblegum,Pop,1963,0,0,0
Bubblegum,Pop,1964,0,0,0
Bubblegum,Pop,1965,0,0,0
Bubblegum,Pop,1966,0,0,0
Bubblegum,Pop,1967,0.13,0.634096961015604,0.504096961015604
Bubblegum,Pop,1968,1.99,2.5312313143371687,0.5412313143371688
Bubblegum,Pop,1969,4.09,3.3784837185343304,-0.7115162814656695
Children's,NonMusic,1960,0.45,0.6852256194183,0.23522561941829995
Children's,NonMusic,1961,0.47,0.6753983524248538,0.20539835242485383
Children's,NonMusic,1962,0.48,0.7933086238513459,0.31330862385134595
Children's,NonMusic,1963,0.49,0.45214001248219027,-0.03785998751780972
Children's,NonMusic,1964,0.4,0.809931796560219,0.40993179656021894
Children's,NonMusic,1965,0.43,0.8256620168131743,0.3956620168131743
Children's,NonMusic,1966,0.4,0.44540237411446965,0.045402374114469624
Children's,NonMusic,1967,0.4,0.5185931400588291,0.11859314005882904
Children's,NonMusic,1968,0.43,0.7772003765904748,0.3472003765904748
Children's,NonMusic,1969,0.44,0.8747468453085441,0.43474684530854407
Classical,Classical,1960,2.04,1.6741315138960615,-0.3658684861039385
Classical,Classical,1961,2.13,1.6214248452467475,-0.5085751547532524
Classical,Classical,1962,2.05,1.5277139428814102,-0.5222860571185897
Classical,Classical,1963,1.94,1.7338118186205662,-0.20618818137943373
Classical,Classical,1964,1.69,1.4522828258923781,-0.23771717410762183
Classical,Classical,1965,1.74,1.2015036158017538,-0.5384963841982462
Classical,Classical,1966,1.73,1.254388874554132,-0.4756111254458679
Classical,Classical,1967,1.74,2.0299105004910127,0.28991050049101275
Classical,Classical,1968,2.13,2.447830033993005,0.31783003399300513
Classical,Classical,1969,2.05,2.4003441292235346,0.35034412922353475
Comedy,NonMusic,1960,0.79,0.4606381931281793,-0.32936180687182076
Comedy,NonMusic,1961,0.83,0.9566395172247223,0.12663951722472233
Comedy,NonMusic,1962,0.84,1.4587931549711335,0.6187931549711335
Comedy,NonMusic,1963,0.73,1.8687661619926927,1.1387661619926928
Comedy,NonMusic,1964,0.68,1.425447357527051,0.7454473575270509
Comedy,NonMusic,1965,0.62,0.7072372021972698,0.08723720219726983
Comedy,NonMusic,1966,0.67,0.6307919099043152,-0.03920809009568482
Comedy,NonMusic,1967,0.67,0.9698471835792387,0.2998471835792387
Comedy,NonMusic,1968,0.57,1.8361857523506568,1.266185752350657
Comedy,NonMusic,1969,0.58,1.7659036801150219,1.1859036801150218
Contemporary Folk,Folk,1960,0,0,0
