genre,family,year,targetSharePct,currentThreeSeedMeanSharePct,deltaPctPoints
Acid Rock,Rock,1960,0,0,0
Acid Rock,Rock,1961,0,0,0
Acid Rock,Rock,1962,0,0,0
Acid Rock,Rock,1963,0,0,0
Acid Rock,Rock,1964,0,0,0
Acid Rock,Rock,1965,0,0,0
Acid Rock,Rock,1966,0.13,0.7243413009965626,0.5943413009965626
Acid Rock,Rock,1967,0.54,3.0845101360988636,2.5445101360988636
Acid Rock,Rock,1968,0.71,0.45901528887533755,-0.2509847111246624
Acid Rock,Rock,1969,0.44,0.40991116875417366,-0.030088831245826342
Baroque Pop,Pop,1960,0,0,0
Baroque Pop,Pop,1961,0,0,0
Baroque Pop,Pop,1962,0,0,0
Baroque Pop,Pop,1963,0,0,0
Baroque Pop,Pop,1964,0,0,0
Baroque Pop,Pop,1965,0,0,0
Baroque Pop,Pop,1966,0.4,1.9179110566035937,1.5179110566035936
Baroque Pop,Pop,1967,0.8,5.478774173124833,4.678774173124833
Baroque Pop,Pop,1968,0.57,3.5551233937090245,2.9851233937090247
Baroque Pop,Pop,1969,0.29,4.135919294565817,3.8459192945658174
Blues,Blues,1960,2.6,0.09986619638752044,-2.5001338036124796
Blues,Blues,1961,2.72,0.5521795428146681,-2.167820457185332
Blues,Blues,1962,2.65,0.33790128938097674,-2.312098710619023
Blues,Blues,1963,2.55,0.5999134392335345,-1.9500865607664655
Blues,Blues,1964,2.26,0.5242921029288504,-1.7357078970711495
Blues,Blues,1965,2.36,0.6450422479451546,-1.7149577520548451
Blues,Blues,1966,2.27,1.0981221824131056,-1.1718778175868945
Blues,Blues,1967,2.01,1.1175124276944406,-0.8924875723055592
Blues,Blues,1968,1.85,1.3285331515298682,-0.5214668484701319
Blues,Blues,1969,1.75,1.3890833885839668,-0.36091661141603315
Blues Rock,Rock,1960,0,0.26124354872212713,0.26124354872212713
Blues Rock,Rock,1961,0,0.1250874026886232,0.1250874026886232
Blues Rock,Rock,1962,0,0.014292105401440778,0.014292105401440778
Blues Rock,Rock,1963,0,0.008748436098225084,0.008748436098225084
Blues Rock,Rock,1964,0,0.002472693001042253,0.002472693001042253
Blues Rock,Rock,1965,0.12,0,-0.12
Blues Rock,Rock,1966,0.4,2.4542208017364824,2.0542208017364825
Blues Rock,Rock,1967,0.8,3.2800131894032574,2.480013189403257
Blues Rock,Rock,1968,1.56,4.643370545382884,3.0833705453828837
Blues Rock,Rock,1969,2.34,4.652124795200801,2.312124795200801
Boogaloo,Latin,1960,0,0,0
Boogaloo,Latin,1961,0,0,0
Boogaloo,Latin,1962,0,0,0
Boogaloo,Latin,1963,0,0,0
Boogaloo,Latin,1964,0,0,0
Boogaloo,Latin,1965,0.12,0,-0.12
Boogaloo,Latin,1966,0.4,0.6335033680865398,0.23350336808653982
Boogaloo,Latin,1967,0.6,0.2491131967320808,-0.3508868032679192
Boogaloo,Latin,1968,0.5,0.3088829959601163,-0.1911170040398837
Boogaloo,Latin,1969,0.22,0.27105283907391625,0.05105283907391625
Bossa Nova,Latin,1960,0,0,0
Bossa Nova,Latin,1961,0.12,0,-0.12
Bossa Nova,Latin,1962,1.08,0.6222530556495253,-0.4577469443504748
Bossa Nova,Latin,1963,1.46,0.9117191617375534,-0.5482808382624466
Bossa Nova,Latin,1964,1.69,0.9894538197481605,-0.7005461802518395
Bossa Nova,Latin,1965,0.87,1.239848008200852,0.36984800820085206
Bossa Nova,Latin,1966,0.33,1.801288208018536,1.4712882080185359
Bossa Nova,Latin,1967,0.13,0.7536492111393208,0.6236492111393208
Bossa Nova,Latin,1968,0.07,0.07984186428428287,0.009841864284282867
Bossa Nova,Latin,1969,0.03,0.032630785903781385,0.0026307859037813866
British Beat (Merseybeat),Rock,1960,0,0,0
British Beat (Merseybeat),Rock,1961,0,0,0
British Beat (Merseybeat),Rock,1962,0,0,0
British Beat (Merseybeat),Rock,1963,0.06,0,-0.06
British Beat (Merseybeat),Rock,1964,8.47,3.7514147879211794,-4.718585212078821
British Beat (Merseybeat),Rock,1965,7.46,3.926752425030672,-3.533247574969328
British Beat (Merseybeat),Rock,1966,4.27,1.5823806869424342,-2.6876193130575654
British Beat (Merseybeat),Rock,1967,2.14,0.5052766720775538,-1.6347233279224462
British Beat (Merseybeat),Rock,1968,1.28,0.4538118307829469,-0.8261881692170532
British Beat (Merseybeat),Rock,1969,0.88,0.4262723326484789,-0.4537276673515211
British Blues,Rock,1960,0,0,0
British Blues,Rock,1961,0,0,0
British Blues,Rock,1962,0,0,0
British Blues,Rock,1963,0,0,0
British Blues,Rock,1964,0.23,0,-0.23
British Blues,Rock,1965,0.75,2.323191310921535,1.5731913109215352
British Blues,Rock,1966,1.73,1.3105604478133321,-0.41943955218666784
British Blues,Rock,1967,2.68,0.8032953388576883,-1.8767046611423117
British Blues,Rock,1968,3.69,0.7141231017470447,-2.975876898252955
British Blues,Rock,1969,4.09,0.7230709370595836,-3.3669290629404163
British Pop,Pop,1960,0,0,0
British Pop,Pop,1961,0,0,0
British Pop,Pop,1962,0,0,0
British Pop,Pop,1963,0.12,0,-0.12
British Pop,Pop,1964,5.08,3.22104396671202,-1.85895603328798
British Pop,Pop,1965,4.97,5.283570527383582,0.3135705273835825
British Pop,Pop,1966,4,2.4646790030692536,-1.5353209969307464
British Pop,Pop,1967,2.95,1.1187888035844,-1.8312111964156002
British Pop,Pop,1968,2.27,0.5808602869901248,-1.689139713009875
British Pop,Pop,1969,1.75,0.4089548035147887,-1.3410451964852113
Bubblegum,Pop,1960,0,0,0
Bubblegum,Pop,1961,0,0,0
Bubblegum,Pop,1962,0,0,0
Bubblegum,Pop,1963,0,0,0
Bubblegum,Pop,1964,0,0,0
Bubblegum,Pop,1965,0,0,0
Bubblegum,Pop,1966,0,0,0
Bubblegum,Pop,1967,0.13,1.9674850296304278,1.837485029630428
Bubblegum,Pop,1968,1.99,5.010653148310584,3.0206531483105836
Bubblegum,Pop,1969,4.09,4.5102441653209935,0.4202441653209936
Children's,Non-Music,1960,0.45,0.2414302258771556,-0.20856977412284441
Children's,Non-Music,1961,0.47,0.44242940046525875,-0.027570599534741225
Children's,Non-Music,1962,0.48,0.513675017547633,0.033675017547633024
Children's,Non-Music,1963,0.49,0.6272639777810419,0.13726397778104193
Children's,Non-Music,1964,0.4,0.4757144731278588,0.07571447312785878
Children's,Non-Music,1965,0.43,0.812080860999448,0.382080860999448
Children's,Non-Music,1966,0.4,0.43476704871852406,0.03476704871852404
Children's,Non-Music,1967,0.4,0.4045394369309781,0.00453943693097808
Children's,Non-Music,1968,0.43,0.48792373417979523,0.05792373417979524
Children's,Non-Music,1969,0.44,0.4686944123190628,0.02869441231906278
Classical,Classical,1960,2.04,0.10023742770023879,-1.9397625722997613
Classical,Classical,1961,2.13,0.4047332852749796,-1.7252667147250202
Classical,Classical,1962,2.05,0.407062657938221,-1.6429373420617788
Classical,Classical,1963,1.94,0.40656505446600194,-1.533434945533998
Classical,Classical,1964,1.69,0.5245282284434561,-1.1654717715565437
Classical,Classical,1965,1.74,0.5535826443450499,-1.18641735565495
Classical,Classical,1966,1.73,0.6098765811314091,-1.120123418868591
Classical,Classical,1967,1.74,0.3770038839907362,-1.3629961160092638
Classical,Classical,1968,2.13,0.30304408481208706,-1.826955915187913
Classical,Classical,1969,2.05,0.2911388002389375,-1.7588611997610624
Comedy,Non-Music,1960,0.79,0.22697372136444183,-0.5630262786355582
Comedy,Non-Music,1961,0.83,0.9725156973064438,0.14251569730644387
Comedy,Non-Music,1962,0.84,0.8443383100219845,0.004338310021984482
Comedy,Non-Music,1963,0.73,0.8475202562533211,0.11752025625332108
Comedy,Non-Music,1964,0.68,1.2593774864465475,0.5793774864465474
Comedy,Non-Music,1965,0.62,0.8822682082683414,0.2622682082683414
Comedy,Non-Music,1966,0.67,0.6780484478298456,0.008048447829845595
